file,length,dtype
Statistik_FOHA_HA_Avslutade_HA012.json,252,mixed
Statistik_MI_Avslutade_MI004.json,42,mixed
Statistik_OF_Avslutade_OF005.json,440,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF024.json,408,int
Statistik_NA_Konsumtion_NA041.json,165,mixed
Statistik_AR_Huvudsaklig verksamhet_AR013b.json,1980,mixed
Utredning_Arbetsmarknadsbarometer_AMB01.json,612,int
Statistik_UTKU_UT_Utb efter grundskolan_Högskolan vid Åland_UT053.json,858,int
Statistik_UTKU_UT_Utb efter grundskolan_Gymnasienivå_UT071.json,2700,int
Statistik_FOHA_HA_Avslutade_HA028.json,104,mixed
Statistik_SO_SO009.json,15912,mixed
Utredning_Äldre utredningar eller scenarier_Skatteutredning_33_LUMP045.json,384,mixed
Statistik_INLO_LO_Avslutade_LO001.json,1440,int
Statistik_AR_Arbetslöshet_AR004.json,11492,mixed
Statistik_OF_2. Landskapet Ålands ekonomiuppgifter_OF037.json,195,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_PUBCONS.json,192,mixed
Utredning_Äldre utredningar eller scenarier_Skatteutredning_61_YG.json,384,mixed
Statistik_MI_MI009.json,476,mixed
Statistik_FOHA_HA_Avslutade_HA007.json,176,mixed
Statistik_BE_Befolkningsrörelsen_BE012.json,1060,int
Statistik_NA_Konsumtion_NA054.json,305,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.1 Bokslut_OF028.json,2520,int
Statistik_AR_Avslutade_AR015b.json,43758,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_QAP_INDU.json,720,mixed
Utredning_Utbildning och arbetsmarknad 2035_GDP1.json,1122,mixed
Statistik_BE_Befolkningsrörelsen_BE053.json,1296,int
Statistik_FOHA_HA_Avslutade_HA011.json,176,mixed
Statistik_NA_Konsumtion_NA042.json,385,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_RECRSEX.json,432,int
Statistik_AR_Huvudsaklig verksamhet_AR013a.json,390,int
Statistik_UTKU_UT_Avslutade_UT031.json,7920,int
Statistik_AR_Sysselsättning_AR020.json,89424,int
Statistik_NA_Avslutade_NA003.json,684,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.1 Bokslut_OF012.json,12852,int
Statistik_BOBY_BY_BY004.json,672,int
Statistik_BE_Befolkningsrörelsen_BE028.json,4410,int
Statistik_INLO_IN_Avslutade_IN008gammal.json,59976,int
Statistik_TUTRSJ_TU_Gästhamnar_TU007.json,504,int
Utredning_Utbildning och arbetsmarknad 2035_RECRFED.json,3060,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_OUTMIGFED.json,4320,int
Utredning_Utbildning och arbetsmarknad 2035_EXAMS.json,8568,int
Statistik_UTKU_KU_KU006.json,2376,mixed
Statistik_FOHA_HA_HA035.json,312,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_BALAFED.json,1350,mixed
Utredning_Äldre utredningar eller scenarier_Skatteutredning_31_YSTATE.json,384,mixed
Statistik_MI_MI005.json,160,mixed
Statistik_TUTRSJ_TR_TR007.json,660,int
Statistik_AR_Arbetslöshet_AR003b.json,912,int
Statistik_KO_Avslutade_KO001.json,429,mixed
Statistik_VA_VA014.json,4284,mixed
"Statistik_TUTRSJ_SJ_Handelsflottan, sysselsättning, resande_SJ004.json",350,int
Statistik_VA_VA002.json,6517,mixed
Utredning_Äldre utredningar eller scenarier_Skatteutredning_35_TIMFIN.json,384,mixed
Statistik_INLO_LO_LO013.json,486,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_GDP2.json,672,mixed
Utredning_Utbildning och arbetsmarknad 2035_QFLABSEX.json,408,mixed
Statistik_UTKU_UT_Studerande utanför ax_UT023.json,6300,int
"Statistik_TUTRSJ_SJ_Handelsflottan, sysselsättning, resande_SJ012.json",66,int
Statistik_UTKU_UT_Grundskolan_UT002.json,150,int
Statistik_AR_Avslutade_AR003.json,42471,int
Statistik_UTKU_UT_Utb efter grundskolan_Gymnasienivå_UT052.json,2700,int
Statistik_BE_Befolkningens storlek och struktur_BE036.json,76362,int
Statistik_TUTRSJ_TR_TR011.json,135,int
Statistik_FOHA_FI_FI002.json,96,mixed
Utredning_Äldre utredningar eller scenarier_Skatteutredning_21_GDP1.json,4224,mixed
Statistik_FOHA_FO_Företagens ekonomi_FO013b.json,4056,mixed
Statistik_NA_Konsumtion_NA035.json,385,mixed
Statistik_BOBY_BO_BO003.json,13260,int
Statistik_BE_Familjer och hushåll_BE020.json,3672,mixed
Statistik_SO_SO010.json,384,mixed
Statistik_INLO_IN_Avslutade_IN005gammal.json,2016,int
